input,output,se_order
"keamanan hotel mengecewakan . ktp saya beserta tamu hotel lainnya hilang dicuri dikarenakan kelalaian penjagaan . ditambah cctv yang ada di hotel ternyata tidak aktif .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> keamanan hotel <extra_id_1> mengecewakan,ao
pelayanan nya ramah dan sangat memuaskan .| aspek : <extra_id_0>,<extra_id_0> pelayanan nya,a
"( + ) letaknya strategis tepat didepan patung maskot bekantan ( + ) resepsionis ramah ( - ) jalan didepan hotel satu arah , sehingga menyulitkan saat jalan ramai ( - ) parkir terbatas untuk 3 mobil . sisanya uts parkir ditepi jalan .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> letaknya <extra_id_1> positive ; <extra_id_2> resepsionis <extra_id_3> positive ; <extra_id_4> parkir <extra_id_5> negative,as
"jalan menuju tempat penginapan tidak baik . petugas tidak ramah . kamar tidak nyaman dan bersih dikarenakan bau asap rokok yang tidak dibersihkan ( gorden tidak diganti ) pada kamar no 4 . tidak mempunyai selimut yang layak . tidak ada meja , lemari sudah rusak dikamar no 2 . fasilitas airi tidak lengkap ( minum hanya 1 botol ) . wifi tidak bisa digunakan . terimakasih .| aspek : <extra_id_0>",<extra_id_0> petugas ; <extra_id_1> kamar ; <extra_id_2> gorden ; <extra_id_3> selimut ; <extra_id_4> meja ; <extra_id_5> lemari ; <extra_id_6> fasilitas airi ; <extra_id_7> wifi,a
kasurnya keras : ( .| aspek : <extra_id_0>,<extra_id_0> kasurnya,a
"lokasi sebenarnya strategis , kamar kecil terus ac nya ribut , tv masih pakai antena dalam bantalnya masih bau waktu saya kesana .| opini : <extra_id_0>",<extra_id_0> strategis ; <extra_id_1> kecil ; <extra_id_2> ribut ; <extra_id_3> bau,o
"kamar tidak seperti biasanya atau standar airy karena tidak ada hiasan di tempat tdr dan snack handuk 4x ditelp baru diantar .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> kamar <extra_id_1> tidak seperti biasanya,ao
"berkesan bisa menikmati liburan .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> NULL <extra_id_1> berkesan,ao
"ini adalah 1x saya pakai airy . kesan 1 memang beda pelayanan dengan hotel berbintang , tetapi fine . kaget surprise dan senang banget dapat box meal free pula . kebersihan kerapian kamar keren deh . apalagi kamar mandi bathup mantap wes . sayang ac kurang dingin , tv mati hidup sendiri berulangberulang bahkan respons resepsionis buruk . internet jelek banget . lumayan saja wes .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> kebersihan kerapian kamar <extra_id_1> keren <extra_id_2> positive ; <extra_id_3> kamar mandi <extra_id_4> mantap <extra_id_5> positive ; <extra_id_6> ac <extra_id_7> kurang dingin <extra_id_8> negative ; <extra_id_9> tv <extra_id_10> mati hidup sendiri <extra_id_11> negative ; <extra_id_12> resepsionis <extra_id_13> buruk <extra_id_14> negative ; <extra_id_15> internet <extra_id_16> jelek banget <extra_id_17> negative ; <extra_id_18> NULL <extra_id_19> lumayan <extra_id_20> positive,aos
sangat puas . terbaik .| aspek : <extra_id_0>,<extra_id_0> NULL,a
"bersih , rapi dan nyaman . tetapi wifi ter suspended .| aspek : <extra_id_0>",<extra_id_0> wifi ; <extra_id_1> NULL,a
"disini tempatnya sangat strategis sangat dekat dengan kampus universitas mulawarman samarinda kalimantan timur , tahu ajakan kalau ada kampus berarti dekat dengan surga kulinernya mahasiswa harga makanan murah akses ke segala penjuru mudah mau shopping juga dekat dengan mall .| aspek : <extra_id_0>",<extra_id_0> tempatnya,a
"lokasi oke .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> lokasi <extra_id_1> oke,ao
"dari jam 01.00 sampai jam 05.30 wita kamar gelap , panas , banyak nyamuk karena mati lampu .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> kamar <extra_id_1> gelap ; <extra_id_2> kamar <extra_id_3> panas ; <extra_id_4> kamar <extra_id_5> banyak nyamuk,ao
biasa saja . sewa 4 kamar ada saja kekurangannya .| aspek : <extra_id_0>,<extra_id_0> NULL ; <extra_id_1> kamar,a
"memuaskan sih , dimana harga yang ekonomis namun fasilitas maksimalis .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> harga <extra_id_1> ekonomis <extra_id_2> positive ; <extra_id_3> fasilitas <extra_id_4> maksimalis <extra_id_5> positive ; <extra_id_6> NULL <extra_id_7> memuaskan <extra_id_8> positive,aos
"tempat bersih . sangat bagus . karena semua serba baru . sayangnya parkir mobil harus di luar , tidak boleh di dalam halaman .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> tempat <extra_id_1> positive,as
"kasur kurang bersih , ada rokok di kamar sehingga bau pengap , dan makanan sarapan habis sehingga tidak kebagian .| opini : <extra_id_0>",<extra_id_0> kurang bersih ; <extra_id_1> bau pengap ; <extra_id_2> tidak kebagian,o
"Terima kasih Kolam renangnya nyaman .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> Kolam renangnya <extra_id_1> nyaman,ao
"hanya wifi yang kurang memuaskan , wifi tidak bisa dipakai , selebihnya tidak masalah .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> wifi <extra_id_1> kurang memuaskan <extra_id_2> negative ; <extra_id_3> wifi <extra_id_4> tidak bisa dipakai <extra_id_5> negative ; <extra_id_6> selebihnya <extra_id_7> tidak masalah <extra_id_8> neutral,aos
"The place is very strategic , everywhere is very easy , the service is extraordinary .| opini : <extra_id_0>",<extra_id_0> very strategic ; <extra_id_1> extraordinary,o
"pelayanan memuaskan , kamarnya bersih , kamar mandi juga . cocok buat backpacker .| aspek : <extra_id_0>",<extra_id_0> pelayanan ; <extra_id_1> kamarnya ; <extra_id_2> kamar mandi,a
"so far so good , hanya kurang petunjuk kiblat saja .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",NULL,as
"parkirannya tidak aman . helm saya hilang dan tidak ada tanggung jawab dari pihak parkir .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> parkirannya <extra_id_1> tidak aman,ao
"toilet bocor , sehingga ubin basah kmanakmana .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> toilet <extra_id_1> bocor,ao
"kasur kurang bersih , ada rokok di kamar sehingga bau pengap , dan makanan sarapan habis sehingga tidak kebagian .| aspek : <extra_id_0>",<extra_id_0> kasur ; <extra_id_1> kamar ; <extra_id_2> makanan sarapan,a
"lumayan , sayang peralatan sanitair nya banyak yang rusak .| opini : <extra_id_0>",<extra_id_0> rusak ; <extra_id_1> lumayan,o
"keren banget hotelnya , harga terjangkau , desainnya vintage , petugas hotel ramah , kebersihan oke , .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> hotelnya <extra_id_1> keren banget ; <extra_id_2> harga <extra_id_3> terjangkau ; <extra_id_4> desainnya <extra_id_5> vintage ; <extra_id_6> petugas hotel <extra_id_7> ramah ; <extra_id_8> kebersihan <extra_id_9> oke,ao
"lokasi strategis mudah dijangkau , mudah mencari tempat makan karena dekat kampus , suasana tenang , ov .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> lokasi <extra_id_1> positive ; <extra_id_2> suasana <extra_id_3> positive,as
"tidak ada tempat parkir mobil ( motor bisa parkir ) . tetapi overall kami puas .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> tempat parkir mobil <extra_id_1> tidak ada ; <extra_id_2> overall <extra_id_3> puas,ao
"kamarnya bagus banget , bersih . tetapi kalau di kamar mandi atau di kamar ditambahin cermin akan lebih bagus lagi .| opini : <extra_id_0>",<extra_id_0> bagus banget ; <extra_id_1> bersih,o
"meskipun luas kamarnya pas , tetapi bersih banget . ada air hangat untuk mandi . bahkan disediakan snack yang buat happy banget . terima kasih airy rooms .| aspek : <extra_id_0>",<extra_id_0> luas kamarnya ; <extra_id_1> air hangat ; <extra_id_2> snack ; <extra_id_3> kamarnya,a
karyawan kurang ramah dan kurang baik .| aspek : <extra_id_0>,<extra_id_0> karyawan,a
kamar bersih dan ramah . mantap .| opini : <extra_id_0>,<extra_id_0> bersih ; <extra_id_1> ramah ; <extra_id_2> mantap,o
"pelayanan yang kurang baik .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> pelayanan <extra_id_1> kurang baik <extra_id_2> negative,aos
hotel bersih dan sesuai harga .| aspek : <extra_id_0>,<extra_id_0> hotel,a
"sangat rekomen banget , tempatnya bersih , rapi , pelayanannya ramah . wangi , pokoknya bagus ! tidak akan nyesal menginap di sini . pasti kami akan berkunjung lagi jika istri dinas ke jakarta lagi : ) .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> tempatnya <extra_id_1> bersih ; <extra_id_2> tempatnya <extra_id_3> rapi ; <extra_id_4> pelayanannya <extra_id_5> ramah ; <extra_id_6> NULL <extra_id_7> sangat rekomen banget ; <extra_id_8> NULL <extra_id_9> wangi ; <extra_id_10> NULL <extra_id_11> bagus,ao
"saat kedatangan pertama tidak terlalu kotor seprai nya . karena nyaman bisa di toleran dan murab kami datang kembali .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> seprai nya <extra_id_1> tidak terlalu kotor,ao
"hotelnya nyaman , dengan budget yang minim kita bisa dapat hotel yang melebihi ekspektasi , cuma sayangnya air panasnya mati .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> hotelnya <extra_id_1> nyaman ; <extra_id_2> air panasnya <extra_id_3> mati,ao
"saluran pembuangan di kamar mandi tdk lancar . ada genangan air .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> saluran pembuangan <extra_id_1> tdk lancar ; <extra_id_2> genangan air <extra_id_3> ada,ao
"tidak enak banget lah pokoknya enakan bobo di rumah .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> NULL <extra_id_1> tidak enak banget,ao
ruangan nya nyaman luas . perlengkapn cukup . akan tetapi kasur yang saya tempati kayaknya perlu diganti . bukan enak bahkan pegalpegal karma kasur nya besi pegas nya sudah pada nongol ke prmukaan jadi seperti tidur di atas tanah berbatu ditambah bantal yang sudah lucek dan tidak myaman . tetapi overal selain maslah kasur semua baik dan bagus twrmasuk pelayanan nya .| opini : <extra_id_0>,<extra_id_0> nyaman ; <extra_id_1> luas ; <extra_id_2> cukup ; <extra_id_3> perlu diganti ; <extra_id_4> lucek ; <extra_id_5> tidak myaman ; <extra_id_6> baik ; <extra_id_7> bagus,o
"Harga kemahalan tidak sebanding dengan fasilitas dan menu yg di sediakan , kamar pun biasa2 aja .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> Harga <extra_id_1> kemahalan <extra_id_2> negative ; <extra_id_3> Harga <extra_id_4> tidak sebanding <extra_id_5> negative ; <extra_id_6> fasilitas <extra_id_7> tidak sebanding <extra_id_8> negative ; <extra_id_9> menu <extra_id_10> tidak sebanding <extra_id_11> negative ; <extra_id_12> kamar <extra_id_13> biasa2 aja <extra_id_14> negative,aos
"hotel nya bersih . tempat nya dekat dengan pelabuhan tengkayu . pusat oleh "" pun dekat mau cari makan pun dekat , masjid dekat .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> hotel nya <extra_id_1> positive,as
"pengalaman saya inap disini sejauh ini saya suka sangat nyaman , hanya snack dari airy sisa dari visitor sebelumnya .| aspek : <extra_id_0>",<extra_id_0> NULL,a
"Staff : Mulai dari receptionis , roomboy ramah , yg agak kurang attitudenya itu engineering , pas kebetulan mau check out diparkiran ada yg sedang perbaiki AC , mobil kita kehalang compressor AC yg lgi diperbaiki , kita minta dipindahin , kyk orang malesan dong .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> receptionis <extra_id_1> ramah <extra_id_2> positive ; <extra_id_3> roomboy <extra_id_4> ramah <extra_id_5> positive ; <extra_id_6> engineering <extra_id_7> agak kurang attitudenya <extra_id_8> negative ; <extra_id_9> engineering <extra_id_10> malesan <extra_id_11> negative,aos
"kebersihan selimut kurang , air panas kadang muncul kadang berhenti . saya beri penilaian 5/10 .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> kebersihan selimut <extra_id_1> kurang ; <extra_id_2> air panas <extra_id_3> kadang berhenti,ao
"lumayan untuk harga diskon . ac , tv , westafel semua baik . cuma kmrrn habis ada wedding party , belum selesai , jadi sampah nya bau .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> ac <extra_id_1> baik <extra_id_2> positive ; <extra_id_3> tv <extra_id_4> baik <extra_id_5> positive ; <extra_id_6> westafel <extra_id_7> baik <extra_id_8> positive,aos
pembuangan air di kamar mandi tersumbat .| opini : <extra_id_0>,<extra_id_0> tersumbat,o
"kamar bagus , sarapan enak , pegawai semuanya sangat ramah .| aspek : <extra_id_0>",<extra_id_0> kamar ; <extra_id_1> sarapan ; <extra_id_2> pegawai semuanya,a
"bersih , petugas ramah , lokasi strategis dan sekarang sudah jadi langganan tetap .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> petugas <extra_id_1> ramah <extra_id_2> positive ; <extra_id_3> lokasi <extra_id_4> strategis <extra_id_5> positive ; <extra_id_6> NULL <extra_id_7> bersih <extra_id_8> positive,aos
sangat nyaman banget buat yang butuh harga terjangkau dengan kamar yang bisa disamakan dengan harga hotel 400rbuan . good rooms deh buat yang ini .| aspek : <extra_id_0>,<extra_id_0> harga ; <extra_id_1> NULL,a
"kali ini dapat kamar dekat kolam renang , anakanak senang , menu sarapan sudah sesuai keinginan , sipp .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> menu sarapan <extra_id_1> sudah sesuai keinginan <extra_id_2> positive,aos
kamar kotor dan sempit .| aspek : <extra_id_0>,<extra_id_0> kamar,a
"oke banget suka dengan servis nya , sopan dan memuaskan .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> servis nya <extra_id_1> oke banget ; <extra_id_2> servis nya <extra_id_3> suka ; <extra_id_4> servis nya <extra_id_5> memuaskan ; <extra_id_6> servis nya <extra_id_7> sopan,ao
